age,1947,1948,1955,1956,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1997,1999,2003,2006,2007,2008,2011,2013,2014,2015,2016,2017,2018,2019,2021,2022
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,7,1,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,
4,1,,3,8,6,,,,3,9,2,127,1,3,9,2,,1,1,7,13,,2,,4,7,,,28,,,,3,1,8,1,4,6,,
5,11,1,7,43,14,1,15,4,13,9,26,18,158,8,7,58,22,8,15,32,42,57,8,,7,28,3,5,86,20,,4,16,3,3,23,28,32,8,8
6,26,8,11,93,19,8,65,42,35,40,9,45,14,188,30,26,111,88,11,40,56,85,68,,15,21,51,41,39,63,,3,24,16,27,13,63,35,20,14
7,26,41,17,69,48,2,76,48,74,43,11,7,13,8,157,18,19,74,57,9,36,60,33,,41,14,74,36,11,62,,79,9,19,32,14,12,31,21,16
8,41,39,24,47,38,11,19,65,62,67,16,8,3,4,1,78,18,12,45,29,9,38,22,,8,10,74,23,15,46,,26,52,14,16,20,19,7,11,33
9,79,55,14,51,16,5,9,18,48,31,16,2,,1,2,2,27,15,3,3,10,9,6,,5,4,17,13,3,20,,12,17,47,19,17,18,5,6,7
10,41,43,7,19,3,2,4,2,9,10,9,3,1,3,1,1,,5,3,1,3,7,1,,,3,5,3,,7,,32,12,23,38,9,14,11,2,9
11,21,16,1,13,,,,1,1,1,1,,,,,,1,,1,1,1,,,,,1,,3,,4,,22,29,11,8,23,3,7,3,2
12,11,4,1,6,,,,,,1,1,,,,,,,,,,2,,,,,,1,1,,2,,12,14,36,10,17,9,7,2,3
13,3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,20,13,11,1,11,4,5
14,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,6,11,18,7,6,2,1
15,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,10,9,10,6,4
16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,7,8,3,
17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,3,2,1
18,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,5,4,5
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
